"","old","new"
"36","tbodyaccjerkmag-std()","timebodyaccelerometerjerkmagnitudestd"
"37","tbodygyromag-mean()","timebodygyroscopemagnitudemean"
"38","tbodygyromag-std()","timebodygyroscopemagnitudestd"
"39","tbodygyrojerkmag-mean()","timebodygyroscopejerkmagnitudemean"
"40","tbodygyrojerkmag-std()","timebodygyroscopejerkmagnitudestd"
"41","fbodyacc-mean()-x","frequencybodyaccelerometermean-x"
"42","fbodyacc-mean()-y","frequencybodyaccelerometermean-y"
"43","fbodyacc-mean()-z","frequencybodyaccelerometermean-z"
"44","fbodyacc-std()-x","frequencybodyaccelerometerstd-x"
"45","fbodyacc-std()-y","frequencybodyaccelerometerstd-y"
"46","fbodyacc-std()-z","frequencybodyaccelerometerstd-z"
"47","fbodyacc-meanfreq()-x","frequencybodyaccelerometermeanfreq-x"
"48","fbodyacc-meanfreq()-y","frequencybodyaccelerometermeanfreq-y"
"49","fbodyacc-meanfreq()-z","frequencybodyaccelerometermeanfreq-z"
"50","fbodyaccjerk-mean()-x","frequencybodyaccelerometerjerkmean-x"
"51","fbodyaccjerk-mean()-y","frequencybodyaccelerometerjerkmean-y"
"52","fbodyaccjerk-mean()-z","frequencybodyaccelerometerjerkmean-z"
"53","fbodyaccjerk-std()-x","frequencybodyaccelerometerjerkstd-x"
"54","fbodyaccjerk-std()-y","frequencybodyaccelerometerjerkstd-y"
"55","fbodyaccjerk-std()-z","frequencybodyaccelerometerjerkstd-z"
"56","fbodyaccjerk-meanfreq()-x","frequencybodyaccelerometerjerkmeanfreq-x"
"57","fbodyaccjerk-meanfreq()-y","frequencybodyaccelerometerjerkmeanfreq-y"
"58","fbodyaccjerk-meanfreq()-z","frequencybodyaccelerometerjerkmeanfreq-z"
"59","fbodygyro-mean()-x","frequencybodygyroscopemean-x"
"60","fbodygyro-mean()-y","frequencybodygyroscopemean-y"
"61","fbodygyro-mean()-z","frequencybodygyroscopemean-z"
"62","fbodygyro-std()-x","frequencybodygyroscopestd-x"
"63","fbodygyro-std()-y","frequencybodygyroscopestd-y"
"64","fbodygyro-std()-z","frequencybodygyroscopestd-z"
"65","fbodygyro-meanfreq()-x","frequencybodygyroscopemeanfreq-x"
"66","fbodygyro-meanfreq()-y","frequencybodygyroscopemeanfreq-y"
"67","fbodygyro-meanfreq()-z","frequencybodygyroscopemeanfreq-z"
"68","fbodyaccmag-mean()","frequencybodyaccelerometermagnitudemean"
"69","fbodyaccmag-std()","frequencybodyaccelerometermagnitudestd"
"70","fbodyaccmag-meanfreq()","frequencybodyaccelerometermagnitudemeanfreq"
"71","fbodybodyaccjerkmag-mean()","frequencybodyaccelerometerjerkmagnitudemean"
"72","fbodybodyaccjerkmag-std()","frequencybodyaccelerometerjerkmagnitudestd"
"73","fbodybodyaccjerkmag-meanfreq()","frequencybodyaccelerometerjerkmagnitudemeanfreq"
"74","fbodybodygyromag-mean()","frequencybodygyroscopemagnitudemean"
"75","fbodybodygyromag-std()","frequencybodygyroscopemagnitudestd"
"76","fbodybodygyromag-meanfreq()","frequencybodygyroscopemagnitudemeanfreq"
"77","fbodybodygyrojerkmag-mean()","frequencybodygyroscopejerkmagnitudemean"
"78","fbodybodygyrojerkmag-std()","frequencybodygyroscopejerkmagnitudestd"
"79","fbodybodygyrojerkmag-meanfreq()","frequencybodygyroscopejerkmagnitudemeanfreq"
"80","angle(tbodyaccmean,gravity)","angletbodyaccelerometermean,gravity"
"81","angle(tbodyaccjerkmean),gravitymean)","angletbodyaccelerometerjerkmean,gravitymean"
"82","angle(tbodygyromean,gravitymean)","angletbodygyroscopemean,gravitymean"
"83","angle(tbodygyrojerkmean,gravitymean)","angletbodygyroscopejerkmean,gravitymean"
"84","angle(x,gravitymean)","anglex,gravitymean"
"85","angle(y,gravitymean)","angley,gravitymean"
"86","angle(z,gravitymean)","anglez,gravitymean"
